hygro;temperature;date;heure;hygro_lissee;hygro_Bis;hygro_Ter;temperature_lissee;temperature_Bis;temperature_Ter
64.94;18.64;2023-11-11;06:25:11;64.41862750000001;64.62532;64.21193500000001;18.714262500000004;18.688950000000002;18.739575000000002
64.94;18.69;2023-11-11;06:25:12;64.41824500000001;64.625375;64.211115;18.7142925;18.68889;18.739695
64.96;18.66;2023-11-11;06:25:13;64.417845;64.625445;64.210245;18.714299999999994;18.688804999999995;18.739794999999997
64.95;18.65;2023-11-11;06:25:14;64.417435;64.625505;64.20936499999999;18.714315;18.688724999999998;18.739905000000004
64.96;18.7;2023-11-11;06:25:15;64.41703749999999;64.625585;64.20849;18.71434;18.68866;18.74002
64.99;18.68;2023-11-11;06:25:16;64.4166275;64.625695;64.20756;18.71436;18.688605;18.740115
64.98;18.69;2023-11-11;06:25:17;64.416255;64.625795;64.206715;18.7143825;18.688544999999998;18.740219999999997
64.98;18.65;2023-11-11;06:25:18;64.415895;64.625915;64.205875;18.714392500000002;18.688470000000002;18.740315000000002
64.99;18.66;2023-11-11;06:25:19;64.41557;64.626055;64.205085;18.7144225;18.688405000000003;18.74044
65.0;18.68;2023-11-11;06:25:20;64.41529750000001;64.626205;64.20439;18.7144525;18.688350000000003;18.740555
65.2;18.66;2023-11-11;06:25:21;64.41513;64.62647;64.20379;18.71447;18.68828;18.74066
65.2;18.65;2023-11-11;06:25:22;64.414945;64.62675;64.20314;18.714487500000004;18.688205000000004;18.74077
65.3;18.65;2023-11-11;06:25:23;64.4145875;64.627085;64.20209;18.714505;18.688125;18.740885
65.5;18.64;2023-11-11;06:25:24;64.414265;64.62753;64.201;18.7145225;18.68804;18.741004999999998
65.7;18.69;2023-11-11;06:25:25;64.41396;64.62809;64.19982999999999;18.71456;18.68799;18.741130000000002
65.7;18.68;2023-11-11;06:25:26;64.4136025;64.62866;64.198545;18.714575000000004;18.687925;18.741225000000004
65.9;18.66;2023-11-11;06:25:27;64.4133075;64.629345;64.19727;18.714592500000002;18.68786;18.741325
65.6;18.66;2023-11-11;06:25:28;64.41290000000001;64.6299;64.1959;18.714617499999996;18.687794999999998;18.741439999999997
65.6;18.66;2023-11-11;06:25:29;64.412565;64.63045;64.19468;18.7146425;18.68773;18.741555
65.5;18.66;2023-11-11;06:25:30;64.412215;64.630965;64.193465;18.7146675;18.687665000000003;18.74167
65.1;18.65;2023-11-11;06:25:31;64.41180499999999;64.6313;64.19230999999999;18.714685;18.687585;18.741785
64.97;18.65;2023-11-11;06:25:32;64.4114625;64.631575;64.19135;18.714712499999997;18.687514999999998;18.74191
64.98;18.66;2023-11-11;06:25:33;64.41114999999999;64.63186;64.19044;18.71474;18.687445;18.742035
64.93;18.69;2023-11-11;06:25:35;64.41083;64.63213499999999;64.189525;18.7147675;18.68739;18.742145
64.95;18.65;2023-11-11;06:25:36;64.41052;64.63242000000001;64.18862;18.7147775;18.6873;18.742255
64.94;18.66;2023-11-11;06:25:37;64.4102075;64.632715;64.18769999999999;18.714805;18.687235;18.742375
64.94;18.66;2023-11-11;06:25:38;64.410075;64.63302;64.18713;18.7148325;18.68717;18.742494999999998
64.97;18.68;2023-11-11;06:25:39;64.409975;64.63333999999999;64.18661;18.714869999999998;18.687115;18.742625
64.97;18.66;2023-11-11;06:25:40;64.409845;64.63366500000001;64.186025;18.71489;18.687045;18.742735
65.0;18.68;2023-11-11;06:25:41;64.4097225;64.634005;64.18544;18.7149225;18.686985;18.742859999999997
65.0;18.68;2023-11-11;06:25:42;64.40961999999999;64.63435;64.18489;18.714945;18.686925000000002;18.742965
65.2;18.68;2023-11-11;06:25:43;64.40936249999999;64.634785;64.18393999999999;18.714977500000003;18.686870000000003;18.743085
65.0;18.68;2023-11-11;06:25:44;64.40901500000001;64.635125;64.182905;18.715002499999997;18.686815;18.74319
64.99;18.68;2023-11-11;06:25:45;64.4087125;64.63546;64.18196499999999;18.71503;18.68676;18.7433
64.96;18.66;2023-11-11;06:25:46;64.40840750000001;64.63577000000001;64.18104500000001;18.715045;18.686695;18.743395
64.93;18.69;2023-11-11;06:25:47;64.4081125;64.63607;64.180155;18.7150775;18.686645000000002;18.743509999999997
64.92;18.68;2023-11-11;06:25:48;64.40782;64.63637;64.17927;18.715105;18.68659;18.74362
64.88;18.68;2023-11-11;06:25:49;64.40752;64.636635;64.178405;18.715127499999998;18.686535;18.743719999999996
64.86;18.68;2023-11-11;06:25:50;64.40723;64.6369;64.17756;18.7151475;18.68647;18.743824999999998
64.83;18.69;2023-11-11;06:25:51;64.4069375;64.637145;64.17673;18.715172499999998;18.686415;18.743929999999995
64.79;18.69;2023-11-11;06:25:52;64.4066425;64.637375;64.17591;18.715200000000003;18.686365000000002;18.744035
64.78;18.69;2023-11-11;06:25:53;64.40636;64.63761;64.17511;18.715225000000004;18.686315000000004;18.744135
64.72;18.68;2023-11-11;06:25:54;64.406065;64.637815;64.17431499999999;18.715247499999997;18.68626;18.744234999999996
64.72;18.66;2023-11-11;06:25:55;64.4057875;64.63802;64.173555;18.7152625;18.686195;18.744329999999998
64.7;18.69;2023-11-11;06:25:56;64.4055075;64.638215;64.17280000000001;18.715292499999997;18.686139999999998;18.744445
64.64;18.66;2023-11-11;06:25:57;64.40521749999999;64.63839;64.172045;18.7153075;18.686075000000002;18.744539999999997
64.64;18.68;2023-11-11;06:25:58;64.40494749999999;64.63857;64.171325;18.715339999999998;18.68602;18.74466
64.61;18.68;2023-11-11;06:25:59;64.40467749999999;64.638745;64.17061;18.71537;18.68597;18.74477
64.59;18.7;2023-11-11;06:26:00;64.4044125;64.63891000000001;64.169915;18.715405000000004;18.685925000000005;18.744885000000004
64.58;18.7;2023-11-11;06:26:01;64.404155;64.63907499999999;64.169235;18.715429999999998;18.685875;18.744984999999996
64.55;18.69;2023-11-11;06:26:02;64.4039025;64.639235;64.16857;18.715445;18.68582;18.74507
64.53;18.68;2023-11-11;06:26:03;64.40365;64.639395;64.167905;18.715467500000003;18.685765000000004;18.745169999999998
64.54;18.7;2023-11-11;06:26:04;64.4034125;64.639555;64.16727;18.715494999999997;18.68572;18.745269999999998
64.54;18.69;2023-11-11;06:26:06;64.4031775;64.63972;64.166635;18.715517500000004;18.685670000000002;18.745365000000003
64.51;18.66;2023-11-11;06:26:07;64.4029425;64.63988;64.166005;18.715542499999998;18.68561;18.745475
64.54;18.66;2023-11-11;06:26:08;64.402725;64.640055;64.165395;18.71557;18.685545;18.745595
64.51;18.68;2023-11-11;06:26:09;64.402505;64.640225;64.16478500000001;18.715600000000002;18.68549;18.74571
64.52;18.7;2023-11-11;06:26:10;64.40230249999999;64.6404;64.164205;18.71563;18.685445;18.745815
64.52;18.7;2023-11-11;06:26:11;64.402105;64.64058;64.16363;18.7156575;18.685405;18.74591
64.54;18.69;2023-11-11;06:26:12;64.4019175;64.64077999999999;64.163055;18.7156825;18.685364999999997;18.746
64.56;18.69;2023-11-11;06:26:13;64.40173250000001;64.640985;64.16248;18.71571;18.68532;18.746100000000002
64.58;18.69;2023-11-11;06:26:14;64.40155250000001;64.6412;64.161905;18.715735000000002;18.68527;18.7462
64.58;18.66;2023-11-11;06:26:15;64.401365;64.641415;64.161315;18.7157525;18.685205;18.746299999999998
64.61;18.71;2023-11-11;06:26:16;64.40118;64.64164;64.16072;18.715795;18.685165;18.746425
64.65;18.69;2023-11-11;06:26:17;64.400995;64.641885;64.160105;18.715815;18.685115000000003;18.746515
64.65;18.68;2023-11-11;06:26:18;64.4007925;64.64213;64.15945500000001;18.7158375;18.68506;18.746615
64.7;18.66;2023-11-11;06:26:19;64.4005925;64.64239;64.158795;18.7158625;18.685;18.746724999999998
64.75;18.69;2023-11-11;06:26:20;64.4003875;64.64267;64.158105;18.7158975;18.684945;18.746850000000002
64.77;18.69;2023-11-11;06:26:21;64.40016750000001;64.64296;64.157375;18.715925;18.68489;18.746959999999998
64.82;18.69;2023-11-11;06:26:22;64.3999475;64.643265;64.15663;18.715955;18.684845;18.747065
64.86;18.69;2023-11-11;06:26:23;64.39972;64.643585;64.155855;18.715982500000003;18.6848;18.747165000000003
64.89;18.66;2023-11-11;06:26:24;64.3994825;64.64392;64.155045;18.716007500000003;18.68474;18.747275000000002
64.93;18.7;2023-11-11;06:26:25;64.39923999999999;64.64427500000001;64.15420499999999;18.716045;18.68469;18.7474
64.96;18.69;2023-11-11;06:26:26;64.398995;64.64464;64.15335;18.7160675;18.68464;18.747495
64.98;18.69;2023-11-11;06:26:27;64.3987275;64.64499;64.15246499999999;18.7160975;18.68459;18.747605
65.0;18.7;2023-11-11;06:26:28;64.39846;64.64535500000001;64.151565;18.716127500000002;18.684545000000004;18.74771
65.4;18.7;2023-11-11;06:26:29;64.398285;64.64591;64.15066;18.71615;18.6845;18.747799999999998
65.4;18.65;2023-11-11;06:26:30;64.39801;64.646475;64.149545;18.716167499999997;18.68443;18.747905
65.9;18.69;2023-11-11;06:26:31;64.39786;64.647295;64.14842499999999;18.716207500000003;18.68438;18.748035
65.12;18.69;2023-11-11;06:26:32;64.39738750000001;64.64771;64.147065;18.716234999999998;18.684325;18.748144999999997
65.14;18.69;2023-11-11;06:26:33;64.39711249999999;64.64814;64.146085;18.716265;18.684275000000003;18.748255
65.15;18.69;2023-11-11;06:26:34;64.39684;64.64857500000001;64.145105;18.71629;18.684225;18.748355
65.17;18.66;2023-11-11;06:26:35;64.3965725;64.64902000000001;64.144125;18.7163;18.684155;18.748445
65.2;18.68;2023-11-11;06:26:37;64.3963075;64.64948;64.143135;18.7163275;18.684099999999997;18.748555
65.2;18.69;2023-11-11;06:26:38;64.39603500000001;64.64994;64.14213000000001;18.7163575;18.684055;18.74866
65.22;18.7;2023-11-11;06:26:39;64.395765;64.65040499999999;64.141125;18.716389999999997;18.684015;18.748765
65.26;18.68;2023-11-11;06:26:40;64.3954975;64.65089499999999;64.1401;18.716414999999998;18.68396;18.74887
65.27;18.66;2023-11-11;06:26:41;64.395225;64.6514;64.13905;18.716437499999998;18.683889999999998;18.748985
65.28;18.69;2023-11-11;06:26:42;64.3949375;64.651885;64.13799;18.716472500000002;18.683835;18.74911
65.28;18.7;2023-11-11;06:26:43;64.39464749999999;64.65236999999999;64.13692499999999;18.716505;18.683795000000003;18.749215
65.29;18.66;2023-11-11;06:26:44;64.3943575;64.652855;64.13586;18.7165225;18.683725;18.74932
65.31;18.7;2023-11-11;06:26:45;64.3940575;64.653335;64.13477999999999;18.716555;18.68368;18.74943
65.32;18.69;2023-11-11;06:26:46;64.393755;64.653825;64.133685;18.7165775;18.683625;18.74953
65.34;18.69;2023-11-11;06:26:47;64.3936475;64.65432;64.132975;18.7166;18.68357;18.74963
65.35;18.68;2023-11-11;06:26:48;64.39353;64.654805;64.132255;18.7166275;18.683525000000003;18.74973
65.35;18.7;2023-11-11;06:26:49;64.3933375;64.655295;64.13138;18.716659999999997;18.68348;18.74984
65.37;18.69;2023-11-11;06:26:50;64.39315500000001;64.655805;64.130505;18.71669;18.683435000000003;18.749945
65.36;18.66;2023-11-11;06:26:51;64.3928625;64.656305;64.12942;18.716710000000003;18.683375;18.750045000000004
65.38;18.66;2023-11-11;06:26:52;64.39258000000001;64.65682;64.12834000000001;18.7167375;18.683310000000002;18.750164999999996
65.41;18.68;2023-11-11;06:26:53;64.392245;64.657345;64.127145;18.71677;18.683255000000003;18.750284999999998
65.41;18.69;2023-11-11;06:26:54;64.391895;64.65786;64.12593;18.7167975;18.6832;18.750395
65.44;18.69;2023-11-11;06:26:55;64.3915425;64.65839;64.124695;18.7168325;18.68316;18.750504999999997
65.42;18.7;2023-11-11;06:26:56;64.3911675;64.65889999999999;64.123435;18.71687;18.683125;18.750615000000003
65.45;18.69;2023-11-11;06:26:57;64.39080999999999;64.65943;64.12218999999999;18.7168925;18.683070000000004;18.750715
65.46;18.69;2023-11-11;06:26:58;64.39043749999999;64.65996;64.120915;18.716922499999995;18.68302;18.750824999999995
65.48;18.69;2023-11-11;06:26:59;64.3900625;64.66049;64.119635;18.716955;18.68298;18.75093
65.51;18.66;2023-11-11;06:27:00;64.38969;64.66104;64.11834;18.716974999999998;18.682914999999998;18.751034999999998
65.52;18.68;2023-11-11;06:27:01;64.38930249999999;64.66158999999999;64.117015;18.71701;18.682859999999998;18.75116
65.49;18.65;2023-11-11;06:27:02;64.388905;64.662125;64.115685;18.717035;18.682795;18.751275
65.49;18.68;2023-11-11;06:27:03;64.388515;64.662655;64.114375;18.7170725;18.68274;18.751405
65.47;18.68;2023-11-11;06:27:04;64.3881275;64.663195;64.11306;18.717102499999996;18.682689999999997;18.751514999999998
65.4;18.69;2023-11-11;06:27:05;64.38773499999999;64.663695;64.111775;18.7171375;18.682645;18.751630000000002
65.35;18.69;2023-11-11;06:27:06;64.38735;64.66418;64.11052000000001;18.717169999999996;18.682599999999997;18.751739999999998
65.31;18.7;2023-11-11;06:27:08;64.3869775;64.66466;64.109295;18.717205;18.682560000000002;18.75185
65.27;18.69;2023-11-11;06:27:09;64.386615;64.665135;64.108095;18.717245;18.68252;18.75197
65.22;18.69;2023-11-11;06:27:10;64.3862525;64.665585;64.10692;18.717275;18.68247;18.75208
65.19;18.69;2023-11-11;06:27:11;64.385905;64.66604;64.10576999999999;18.717312500000002;18.682435;18.752190000000002
65.15;18.69;2023-11-11;06:27:12;64.38556750000001;64.66649000000001;64.10464499999999;18.717345;18.68239;18.752299999999998
65.12;18.7;2023-11-11;06:27:13;64.3852375;64.666925;64.10355;18.717385;18.682355;18.752414999999996
65.9;18.68;2023-11-11;06:27:14;64.38511500000001;64.667765;64.10246500000001;18.7174075;18.682299999999998;18.752515
65.7;18.69;2023-11-11;06:27:15;64.38476;64.66852;64.101;18.7174425;18.682255;18.75263
65.5;18.69;2023-11-11;06:27:16;64.3844025;64.66917500000001;64.09962999999999;18.7174725;18.682205;18.75274
65.2;18.68;2023-11-11;06:27:17;64.3840325;64.669695;64.09837;18.717505000000003;18.682165;18.752845
64.99;18.69;2023-11-11;06:27:18;64.38369;64.670115;64.097265;18.717534999999998;18.682119999999998;18.752950000000002
64.98;18.7;2023-11-11;06:27:19;64.3833925;64.67053;64.096255;18.7175675;18.682085;18.753049999999998
64.96;18.69;2023-11-11;06:27:20;64.38309749999999;64.670935;64.09526;18.71759;18.682035;18.753145
64.93;18.68;2023-11-11;06:27:21;64.3827925;64.67132;64.094265;18.7176225;18.681990000000003;18.753255
64.92;18.7;2023-11-11;06:27:22;64.3825;64.6717;64.0933;18.7176575;18.681949999999997;18.753365000000002
64.89;18.68;2023-11-11;06:27:23;64.3821975;64.67206;64.092335;18.7176875;18.6819;18.753475
64.85;18.69;2023-11-11;06:27:24;64.3818775;64.67238;64.091375;18.7177225;18.681855;18.75359
64.85;18.69;2023-11-11;06:27:25;64.3815725;64.672695;64.09045;18.717750000000002;18.681815000000004;18.753685
64.82;18.68;2023-11-11;06:27:26;64.3812525;64.67298000000001;64.089525;18.717777499999997;18.68176;18.753794999999997
64.8;18.69;2023-11-11;06:27:27;64.3809225;64.67323999999999;64.088605;18.717805;18.681704999999997;18.753905
64.79;18.69;2023-11-11;06:27:28;64.3805975;64.67349;64.087705;18.7178375;18.68166;18.754015
64.8;18.68;2023-11-11;06:27:29;64.3802625;64.673715;64.08681;18.717865;18.681605;18.754125
64.78;18.69;2023-11-11;06:27:30;64.3799175;64.673925;64.08591;18.7179;18.681565000000003;18.754235
64.76;18.68;2023-11-11;06:27:31;64.3796425;64.674115;64.08517;18.717927500000002;18.681510000000003;18.754344999999997
64.74;18.68;2023-11-11;06:27:32;64.37935250000001;64.674265;64.08444;18.717957499999997;18.68146;18.754454999999997
64.76;18.69;2023-11-11;06:27:33;64.379065;64.67441;64.08372;18.7179925;18.681415;18.75457
64.75;18.68;2023-11-11;06:27:34;64.3788175;64.674545;64.08309;18.718020000000003;18.68136;18.75468
64.75;18.69;2023-11-11;06:27:35;64.37861000000001;64.674655;64.082565;18.718055;18.68131;18.7548
64.75;18.68;2023-11-11;06:27:36;64.37842500000001;64.67476;64.08209000000001;18.718085000000002;18.681255;18.754915
64.73;18.66;2023-11-11;06:27:37;64.3782525;64.67484;64.081665;18.718107499999995;18.681189999999997;18.755024999999996
64.72;18.68;2023-11-11;06:27:39;64.378075;64.6749;64.08125;18.7181425;18.681134999999998;18.75515
64.72;18.69;2023-11-11;06:27:40;64.37787;64.67495;64.08079000000001;18.7181775;18.68109;18.755264999999998
64.7;18.66;2023-11-11;06:27:41;64.37767499999998;64.67496999999999;64.08037999999999;18.718207500000005;18.681035000000005;18.755380000000002
64.69;18.66;2023-11-11;06:27:42;64.37747999999999;64.67497999999999;64.07997999999999;18.718235;18.680975;18.755495
64.67;18.68;2023-11-11;06:27:43;64.37707;64.674955;64.079185;18.718269999999997;18.680919999999997;18.75562
64.65;18.68;2023-11-11;06:27:44;64.3768475;64.674895;64.0788;18.7183025;18.68087;18.755735
64.63;18.69;2023-11-11;06:27:45;64.37662;64.674815;64.07842500000001;18.718335000000003;18.680825000000002;18.755845
