hygro;temperature;date;heure;hygro_lissee;hygro_Bis;hygro_Ter;temperature_lissee;temperature_Bis;temperature_Ter
74.45;18.24;2023-11-10;07:48:34;74.61824999999999;76.18458;73.05192;18.271065;18.31163;18.2305
74.45;18.24;2023-11-10;07:48:35;74.61729;76.183705;73.050875;18.2710375;18.31154;18.230535
74.46;18.24;2023-11-10;07:48:36;74.61634000000001;76.182835;73.049845;18.271007499999996;18.311449999999997;18.230565
74.46;18.22;2023-11-10;07:48:37;74.615355;76.181915;73.048795;18.2709725;18.311344999999996;18.2306
74.45;18.21;2023-11-10;07:48:38;74.61437;76.18099;73.04775;18.270942499999997;18.311239999999998;18.230644999999996
74.43;18.22;2023-11-10;07:48:39;74.6133575;76.18000500000001;73.04670999999999;18.270917500000003;18.311135;18.230700000000002
74.42;18.24;2023-11-10;07:48:40;74.61237;76.17906500000001;73.045675;18.270895;18.311045;18.230745
74.44;18.24;2023-11-10;07:48:41;74.61137249999999;76.178085;73.04466;18.270870000000002;18.310955000000003;18.230785
74.42;18.24;2023-11-10;07:48:42;74.61031249999999;76.176995;73.04363;18.270845;18.310865000000003;18.230825
74.42;18.24;2023-11-10;07:48:43;74.609335;76.17605499999999;73.04261500000001;18.270825;18.310789999999997;18.23086
74.4;18.24;2023-11-10;07:48:44;74.608325;76.17505499999999;73.041595;18.2707975;18.3107;18.230895
74.41;18.2;2023-11-10;07:48:45;74.6073475;76.17411;73.040585;18.270757500000002;18.310585;18.23093
74.39;18.22;2023-11-10;07:48:46;74.606365;76.173155;73.039575;18.270737500000003;18.31049;18.230985
74.39;18.26;2023-11-10;07:48:47;74.60539;76.1722;73.03858;18.270717500000003;18.310415000000003;18.23102
74.37;18.22;2023-11-10;07:48:48;74.604385;76.171185;73.03758499999999;18.270677499999998;18.310315;18.23104
74.39;18.24;2023-11-10;07:48:49;74.6033875;76.17017999999999;73.036595;18.27066;18.31023;18.231090000000002
74.39;18.22;2023-11-10;07:48:50;74.60241249999999;76.169225;73.03559999999999;18.270624999999995;18.310124999999996;18.231125
74.37;18.22;2023-11-10;07:48:51;74.6014275;76.16826;73.034595;18.2706025;18.310029999999998;18.231175
74.35;18.24;2023-11-10;07:48:52;74.60039499999999;76.167185;73.033605;18.270575;18.309935000000003;18.231215
74.35;18.24;2023-11-10;07:48:53;74.5993475;76.16606;73.032635;18.270545;18.30984;18.23125
74.36;18.22;2023-11-10;07:48:54;74.598345;76.16504;73.03165;18.2705175;18.30975;18.231285
74.36;18.24;2023-11-10;07:48:55;74.597295;76.16392;73.03067;18.270495000000004;18.30966;18.231330000000003
74.33;18.24;2023-11-10;07:48:56;74.5962625;76.162835;73.02969;18.270465;18.309565;18.231365
74.33;18.22;2023-11-10;07:48:58;74.5952625;76.1618;73.02872500000001;18.270429999999998;18.309459999999998;18.231399999999997
74.34;18.24;2023-11-10;07:48:59;74.59424;76.16072;73.02776;18.270407499999997;18.309369999999998;18.231445
74.33;18.24;2023-11-10;07:49:00;74.59326;76.159735;73.026785;18.270380000000003;18.30928;18.23148
74.32;18.21;2023-11-10;07:49:01;74.592205;76.15859499999999;73.02581500000001;18.27034;18.309175;18.231505000000002
74.31;18.24;2023-11-10;07:49:02;74.5912275;76.15759999999999;73.024855;18.2703225;18.30909;18.231555
74.29;18.21;2023-11-10;07:49:03;74.5902225;76.156545;73.0239;18.270289999999996;18.308989999999998;18.231589999999997
74.32;18.21;2023-11-10;07:49:04;74.589255;76.15555499999999;73.022955;18.270267499999996;18.308889999999998;18.231644999999997
74.3;18.22;2023-11-10;07:49:05;74.58822249999999;76.15445499999998;73.02198999999999;18.270242500000002;18.308790000000002;18.231695
74.29;18.22;2023-11-10;07:49:06;74.58716749999999;76.1533;73.021035;18.2702125;18.30869;18.231734999999997
74.27;18.24;2023-11-10;07:49:07;74.5861825;76.15228499999999;73.02008000000001;18.2701925;18.308605;18.231780000000004
74.28;18.22;2023-11-10;07:49:08;74.5852075;76.151275;73.01914;18.270159999999997;18.30851;18.23181
74.27;18.2;2023-11-10;07:49:09;74.5842275;76.15025999999999;73.018195;18.2701325;18.30841;18.231855
74.27;18.25;2023-11-10;07:49:10;74.583295;76.149345;73.01724500000002;18.270125;18.308335000000003;18.231915
74.24;18.2;2023-11-10;07:49:11;74.58225999999999;76.14821500000001;73.01630499999999;18.270092499999997;18.30823;18.231955
74.27;18.22;2023-11-10;07:49:12;74.5812825;76.1472;73.015365;18.270075;18.308139999999998;18.232010000000002
74.24;18.22;2023-11-10;07:49:13;74.58029250000001;76.14617;73.01441500000001;18.270052500000002;18.308045000000003;18.23206
74.25;18.24;2023-11-10;07:49:14;74.57926749999999;76.145045;73.01348999999999;18.270030000000002;18.307955000000003;18.232105
